id,code,title,semester,instructor_id
1,CSE1000,Course 1: Systems & Testing,Fall 2025,1
2,CSE1001,Course 2: Systems & Testing,Fall 2025,72
3,CSE1002,Course 3: Systems & Testing,Fall 2025,132
4,CSE1003,Course 4: Systems & Testing,Fall 2025,175
5,CSE1004,Course 5: Systems & Testing,Fall 2025,219
6,CSE1005,Course 6: Systems & Testing,Fall 2025,250
7,CSE1006,Course 7: Systems & Testing,Fall 2025,314
8,CSE1007,Course 8: Systems & Testing,Fall 2025,365
9,CSE1008,Course 9: Systems & Testing,Fall 2025,437
10,CSE1009,Course 10: Systems & Testing,Fall 2025,483
11,CSE1010,Course 11: Systems & Testing,Fall 2025,544
12,CSE1011,Course 12: Systems & Testing,Fall 2025,587
13,CSE1012,Course 13: Systems & Testing,Fall 2025,665
14,CSE1013,Course 14: Systems & Testing,Fall 2025,746
15,CSE1014,Course 15: Systems & Testing,Fall 2025,798
16,CSE1015,Course 16: Systems & Testing,Fall 2025,851
17,CSE1016,Course 17: Systems & Testing,Fall 2025,893
18,CSE1017,Course 18: Systems & Testing,Fall 2025,966
19,CSE1018,Course 19: Systems & Testing,Fall 2025,1041
20,CSE1019,Course 20: Systems & Testing,Fall 2025,1079
21,CSE1020,Course 21: Systems & Testing,Fall 2025,1113
22,CSE1021,Course 22: Systems & Testing,Fall 2025,1164
23,CSE1022,Course 23: Systems & Testing,Fall 2025,1210
24,CSE1023,Course 24: Systems & Testing,Fall 2025,1289
25,CSE1024,Course 25: Systems & Testing,Fall 2025,1348
26,CSE1025,Course 26: Systems & Testing,Fall 2025,1407
27,CSE1026,Course 27: Systems & Testing,Fall 2025,1440
28,CSE1027,Course 28: Systems & Testing,Fall 2025,1483
29,CSE1028,Course 29: Systems & Testing,Fall 2025,1559
30,CSE1029,Course 30: Systems & Testing,Fall 2025,1624
31,CSE1030,Course 31: Systems & Testing,Fall 2025,1665
32,CSE1031,Course 32: Systems & Testing,Fall 2025,1715
33,CSE1032,Course 33: Systems & Testing,Fall 2025,1777
34,CSE1033,Course 34: Systems & Testing,Fall 2025,1850
35,CSE1034,Course 35: Systems & Testing,Fall 2025,1907
36,CSE1035,Course 36: Systems & Testing,Fall 2025,1945
37,CSE1036,Course 37: Systems & Testing,Fall 2025,2026
38,CSE1037,Course 38: Systems & Testing,Fall 2025,2083
39,CSE1038,Course 39: Systems & Testing,Fall 2025,2146
40,CSE1039,Course 40: Systems & Testing,Fall 2025,2213
41,CSE1040,Course 41: Systems & Testing,Fall 2025,2245
42,CSE1041,Course 42: Systems & Testing,Fall 2025,2306
43,CSE1042,Course 43: Systems & Testing,Fall 2025,2350
44,CSE1043,Course 44: Systems & Testing,Fall 2025,2425
45,CSE1044,Course 45: Systems & Testing,Fall 2025,2464
46,CSE1045,Course 46: Systems & Testing,Fall 2025,2531
47,CSE1046,Course 47: Systems & Testing,Fall 2025,2581
48,CSE1047,Course 48: Systems & Testing,Fall 2025,2629
49,CSE1048,Course 49: Systems & Testing,Fall 2025,2702
50,CSE1049,Course 50: Systems & Testing,Fall 2025,2766
51,CSE1050,Course 51: Systems & Testing,Fall 2025,2817
52,CSE1051,Course 52: Systems & Testing,Fall 2025,2866
53,CSE1052,Course 53: Systems & Testing,Fall 2025,2914
54,CSE1053,Course 54: Systems & Testing,Fall 2025,2963
55,CSE1054,Course 55: Systems & Testing,Fall 2025,3029
56,CSE1055,Course 56: Systems & Testing,Fall 2025,3066
57,CSE1056,Course 57: Systems & Testing,Fall 2025,3125
58,CSE1057,Course 58: Systems & Testing,Fall 2025,3185
59,CSE1058,Course 59: Systems & Testing,Fall 2025,3241
60,CSE1059,Course 60: Systems & Testing,Fall 2025,3290
61,CSE1060,Course 61: Systems & Testing,Fall 2025,3356
62,CSE1061,Course 62: Systems & Testing,Fall 2025,3429
63,CSE1062,Course 63: Systems & Testing,Fall 2025,3507
64,CSE1063,Course 64: Systems & Testing,Fall 2025,3567
65,CSE1064,Course 65: Systems & Testing,Fall 2025,3636
66,CSE1065,Course 66: Systems & Testing,Fall 2025,3688
67,CSE1066,Course 67: Systems & Testing,Fall 2025,3760
68,CSE1067,Course 68: Systems & Testing,Fall 2025,3797
69,CSE1068,Course 69: Systems & Testing,Fall 2025,3842
70,CSE1069,Course 70: Systems & Testing,Fall 2025,3877
71,CSE1070,Course 71: Systems & Testing,Fall 2025,3933
72,CSE1071,Course 72: Systems & Testing,Fall 2025,3982
73,CSE1072,Course 73: Systems & Testing,Fall 2025,4033
74,CSE1073,Course 74: Systems & Testing,Fall 2025,4092
75,CSE1074,Course 75: Systems & Testing,Fall 2025,4167
76,CSE1075,Course 76: Systems & Testing,Fall 2025,4247
77,CSE1076,Course 77: Systems & Testing,Fall 2025,4294
78,CSE1077,Course 78: Systems & Testing,Fall 2025,4326
79,CSE1078,Course 79: Systems & Testing,Fall 2025,4396
80,CSE1079,Course 80: Systems & Testing,Fall 2025,4466
81,CSE1080,Course 81: Systems & Testing,Fall 2025,4524
82,CSE1081,Course 82: Systems & Testing,Fall 2025,4568
83,CSE1082,Course 83: Systems & Testing,Fall 2025,4648
84,CSE1083,Course 84: Systems & Testing,Fall 2025,4682
85,CSE1084,Course 85: Systems & Testing,Fall 2025,4752
86,CSE1085,Course 86: Systems & Testing,Fall 2025,4790
87,CSE1086,Course 87: Systems & Testing,Fall 2025,4851
88,CSE1087,Course 88: Systems & Testing,Fall 2025,4894
89,CSE1088,Course 89: Systems & Testing,Fall 2025,4970
90,CSE1089,Course 90: Systems & Testing,Fall 2025,5012
91,CSE1090,Course 91: Systems & Testing,Fall 2025,5067
92,CSE1091,Course 92: Systems & Testing,Fall 2025,5136
93,CSE1092,Course 93: Systems & Testing,Fall 2025,5206
94,CSE1093,Course 94: Systems & Testing,Fall 2025,5286
95,CSE1094,Course 95: Systems & Testing,Fall 2025,5336
96,CSE1095,Course 96: Systems & Testing,Fall 2025,5367
97,CSE1096,Course 97: Systems & Testing,Fall 2025,5431
98,CSE1097,Course 98: Systems & Testing,Fall 2025,5499
99,CSE1098,Course 99: Systems & Testing,Fall 2025,5533
100,CSE1099,Course 100: Systems & Testing,Fall 2025,5591
101,CSE1100,Course 101: Systems & Testing,Fall 2025,5630
102,CSE1101,Course 102: Systems & Testing,Fall 2025,5675
103,CSE1102,Course 103: Systems & Testing,Fall 2025,5719
104,CSE1103,Course 104: Systems & Testing,Fall 2025,5787
105,CSE1104,Course 105: Systems & Testing,Fall 2025,5824
106,CSE1105,Course 106: Systems & Testing,Fall 2025,5894
107,CSE1106,Course 107: Systems & Testing,Fall 2025,5956
108,CSE1107,Course 108: Systems & Testing,Fall 2025,6024
109,CSE1108,Course 109: Systems & Testing,Fall 2025,6089
110,CSE1109,Course 110: Systems & Testing,Fall 2025,6130
111,CSE1110,Course 111: Systems & Testing,Fall 2025,6174
112,CSE1111,Course 112: Systems & Testing,Fall 2025,6211
113,CSE1112,Course 113: Systems & Testing,Fall 2025,6270
114,CSE1113,Course 114: Systems & Testing,Fall 2025,6318
115,CSE1114,Course 115: Systems & Testing,Fall 2025,6392
116,CSE1115,Course 116: Systems & Testing,Fall 2025,6431
117,CSE1116,Course 117: Systems & Testing,Fall 2025,6510
118,CSE1117,Course 118: Systems & Testing,Fall 2025,6580
119,CSE1118,Course 119: Systems & Testing,Fall 2025,6642
120,CSE1119,Course 120: Systems & Testing,Fall 2025,6694
121,CSE1120,Course 121: Systems & Testing,Fall 2025,6762
122,CSE1121,Course 122: Systems & Testing,Fall 2025,6815
123,CSE1122,Course 123: Systems & Testing,Fall 2025,6856
124,CSE1123,Course 124: Systems & Testing,Fall 2025,6909
125,CSE1124,Course 125: Systems & Testing,Fall 2025,6949
126,CSE1125,Course 126: Systems & Testing,Fall 2025,6989
127,CSE1126,Course 127: Systems & Testing,Fall 2025,7061
128,CSE1127,Course 128: Systems & Testing,Fall 2025,7124
129,CSE1128,Course 129: Systems & Testing,Fall 2025,7195
130,CSE1129,Course 130: Systems & Testing,Fall 2025,7257
131,CSE1130,Course 131: Systems & Testing,Fall 2025,7320
132,CSE1131,Course 132: Systems & Testing,Fall 2025,7351
133,CSE1132,Course 133: Systems & Testing,Fall 2025,7428
134,CSE1133,Course 134: Systems & Testing,Fall 2025,7496
135,CSE1134,Course 135: Systems & Testing,Fall 2025,7565
136,CSE1135,Course 136: Systems & Testing,Fall 2025,7620
137,CSE1136,Course 137: Systems & Testing,Fall 2025,7677
138,CSE1137,Course 138: Systems & Testing,Fall 2025,7754
139,CSE1138,Course 139: Systems & Testing,Fall 2025,7824
140,CSE1139,Course 140: Systems & Testing,Fall 2025,7902
141,CSE1140,Course 141: Systems & Testing,Fall 2025,7963
142,CSE1141,Course 142: Systems & Testing,Fall 2025,8021
143,CSE1142,Course 143: Systems & Testing,Fall 2025,8100
144,CSE1143,Course 144: Systems & Testing,Fall 2025,8169
145,CSE1144,Course 145: Systems & Testing,Fall 2025,8237
146,CSE1145,Course 146: Systems & Testing,Fall 2025,8307
147,CSE1146,Course 147: Systems & Testing,Fall 2025,8345
148,CSE1147,Course 148: Systems & Testing,Fall 2025,8402
149,CSE1148,Course 149: Systems & Testing,Fall 2025,8477
150,CSE1149,Course 150: Systems & Testing,Fall 2025,8516
