id,course_id,name
1,1,Team 01
2,1,Team 02
3,1,Team 03
4,1,Team 04
5,1,Team 05
6,1,Team 06
7,1,Team 07
8,1,Team 08
9,1,Team 09
10,1,Team 10
11,1,Team 11
12,1,Team 12
13,2,Team 01
14,2,Team 02
15,2,Team 03
16,2,Team 04
17,2,Team 05
18,2,Team 06
19,2,Team 07
20,2,Team 08
21,2,Team 09
22,2,Team 10
23,3,Team 01
24,3,Team 02
25,3,Team 03
26,3,Team 04
27,3,Team 05
28,3,Team 06
29,3,Team 07
30,4,Team 01
31,4,Team 02
32,4,Team 03
33,4,Team 04
34,4,Team 05
35,4,Team 06
36,4,Team 07
37,5,Team 01
38,5,Team 02
39,5,Team 03
40,5,Team 04
41,5,Team 05
42,6,Team 01
43,6,Team 02
44,6,Team 03
45,6,Team 04
46,6,Team 05
47,6,Team 06
48,6,Team 07
49,6,Team 08
50,6,Team 09
51,6,Team 10
52,7,Team 01
53,7,Team 02
54,7,Team 03
55,7,Team 04
56,7,Team 05
57,7,Team 06
58,7,Team 07
59,7,Team 08
60,8,Team 01
61,8,Team 02
62,8,Team 03
63,8,Team 04
64,8,Team 05
65,8,Team 06
66,8,Team 07
67,8,Team 08
68,8,Team 09
69,8,Team 10
70,8,Team 11
71,8,Team 12
72,9,Team 01
73,9,Team 02
74,9,Team 03
75,9,Team 04
76,9,Team 05
77,9,Team 06
78,9,Team 07
79,9,Team 08
80,10,Team 01
81,10,Team 02
82,10,Team 03
83,10,Team 04
84,10,Team 05
85,10,Team 06
86,10,Team 07
87,10,Team 08
88,10,Team 09
89,10,Team 10
90,11,Team 01
91,11,Team 02
92,11,Team 03
93,11,Team 04
94,11,Team 05
95,11,Team 06
96,11,Team 07
97,12,Team 01
98,12,Team 02
99,12,Team 03
100,12,Team 04
101,12,Team 05
102,12,Team 06
103,12,Team 07
104,12,Team 08
105,12,Team 09
106,12,Team 10
107,12,Team 11
108,12,Team 12
109,12,Team 13
110,13,Team 01
111,13,Team 02
112,13,Team 03
113,13,Team 04
114,13,Team 05
115,13,Team 06
116,13,Team 07
117,13,Team 08
118,13,Team 09
119,13,Team 10
120,13,Team 11
121,13,Team 12
122,13,Team 13
123,14,Team 01
124,14,Team 02
125,14,Team 03
126,14,Team 04
127,14,Team 05
128,14,Team 06
129,14,Team 07
130,14,Team 08
131,15,Team 01
132,15,Team 02
133,15,Team 03
134,15,Team 04
135,15,Team 05
136,15,Team 06
137,15,Team 07
138,15,Team 08
139,15,Team 09
140,16,Team 01
141,16,Team 02
142,16,Team 03
143,16,Team 04
144,16,Team 05
145,16,Team 06
146,16,Team 07
147,17,Team 01
148,17,Team 02
149,17,Team 03
150,17,Team 04
151,17,Team 05
152,17,Team 06
153,17,Team 07
154,17,Team 08
155,17,Team 09
156,17,Team 10
157,17,Team 11
158,17,Team 12
159,18,Team 01
160,18,Team 02
161,18,Team 03
162,18,Team 04
163,18,Team 05
164,18,Team 06
165,18,Team 07
166,18,Team 08
167,18,Team 09
168,18,Team 10
169,18,Team 11
170,18,Team 12
171,19,Team 01
172,19,Team 02
173,19,Team 03
174,19,Team 04
175,19,Team 05
176,19,Team 06
177,20,Team 01
178,20,Team 02
179,20,Team 03
180,20,Team 04
181,20,Team 05
182,20,Team 06
183,21,Team 01
184,21,Team 02
185,21,Team 03
186,21,Team 04
187,21,Team 05
188,21,Team 06
189,21,Team 07
190,21,Team 08
191,22,Team 01
